interface,received-bytes,received-packets,received-errs,received-drop,received-fifo,received-frame,received-compressed,received-multicast,sent-bytes,sent-packets,sent-errs,sent-drop,sent-fifo,sent-colls,sent-carrier,sent-compressed,device,app,app_details,is_record,is_wireless,repetition
wlan0,2130830462,1684510,0,0,0,0,0,1745,272151387,598769,0,160,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2237902,40265,0,0,0,0,0,26,123143873,81906,0,28,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,2137617325,1690342,0,0,0,0,0,1750,274167432,602475,0,160,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2237902,40265,0,0,0,0,0,26,123143873,81906,0,28,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,2223885357,1774600,0,0,0,0,0,1908,313063474,663780,0,184,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2522757,44554,0,0,0,0,0,26,135954492,90447,0,36,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,2234219595,1784466,0,0,0,0,0,1939,316932063,671226,0,185,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2522757,44554,0,0,0,0,0,26,135954492,90447,0,36,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,2239428917,1789725,0,0,0,0,0,1950,319122971,675566,0,187,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2522757,44554,0,0,0,0,0,26,135954492,90447,0,36,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,2252696544,1802902,0,0,0,0,0,1962,324353577,685865,0,192,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2522757,44554,0,0,0,0,0,26,135954492,90447,0,36,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,2257338566,1807173,0,0,0,0,0,1985,325832556,688575,0,193,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2578397,45624,0,0,0,0,0,26,139199651,92617,0,38,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,2263459933,1815704,0,0,0,0,0,1993,329267704,695329,0,193,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2578425,45625,0,0,0,0,0,26,139199693,92618,0,38,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,2265717513,1820118,0,0,0,0,0,2004,331005459,699075,0,194,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2632193,46659,0,0,0,0,0,26,142444651,94763,0,39,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,2271843507,1827599,0,0,0,0,0,2004,333937145,705025,0,194,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2632221,46660,0,0,0,0,0,26,142444693,94764,0,39,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,2278509576,1834281,0,0,0,0,0,2036,336255928,709685,0,194,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2632221,46660,0,0,0,0,0,26,142444693,94764,0,39,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,2288928794,1844823,0,0,0,0,0,2047,339543256,716594,0,195,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2632221,46660,0,0,0,0,0,26,142444693,94764,0,39,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,2298203148,1853641,0,0,0,0,0,2058,342513935,722076,0,197,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2632221,46660,0,0,0,0,0,26,142444693,94764,0,39,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,2302610920,1858748,0,0,0,0,0,2058,344098821,725366,0,198,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2632221,46660,0,0,0,0,0,26,142444693,94764,0,39,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,2311259659,1867017,0,0,0,0,0,2081,347262383,731130,0,201,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
p2p-wlan0-0,2688329,47739,0,0,0,0,0,26,145694068,96954,0,39,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
wlan0,2314389301,1869896,0,0,0,0,0,2091,348514493,733140,0,201,0,0,0,0,clumsy-dropchance-0.025,Quest-Pro,BeatSaber,False,False,PopStars-Medium
